Age,Assists,C_Apps,C_Assists,C_Clean_Sheets,C_Goals,C_Mins,Clean Sheets,Club,Club_Appearances,Country,Current_Value,F_Def,F_Drib,F_Pace,F_Passing,F_Phy,F_Rating,F_Shooting,F_WRate,FantasyLeaguePoints,FantasyLeagueVal,Goals,Goals_per_game,Mins_per_goal,Minutes_played_club,Name,Position,Previous_Value,Wiki_Views
33,0,16,0,6,0,1300,,RCD Espanyol Barcelona,31,Spain,"1,00 Mill. ",78,68,56,72,78,80,60,Medium / High,38,6,1,0.03,2.566,2566,Javi Fuego,Defensive Midfield,"1,50 Mill. ?",48
20,0,0,0,0,0,126,,RCD Espanyol Barcelona,11,Spain,600 Th. ,49,71,66,65,60,70,62,Medium / Medium,6,2,0,0,,297,Oscar Melendo,Attacking Midfield,500 Th. ?,0
26,4,10,1,0,1,876,,Real Sociedad,34,Spain,"25,00 Mill. ",82,62,71,63,79,82,56,Medium / Medium,32,7.5,3,0.09,1,2999,Iñigo Martínez,Centre-Back,"20,00 Mill. ?",294
20,8,13,3,0,6,1146,,Real Sociedad,38,Spain,"30,00 Mill. ",33,79,73,76,57,79,73,High / Medium,62,13.2,2,0.05,1.361,2722,Mikel Oyarzabal,Left Wing,"15,00 Mill. ?",160
22,5,16,4,2,0,1463,,Real Sociedad,15,Spain,"20,00 Mill. ",78,67,86,70,67,80,50,High / Medium,50,6.5,0,0,,1286,Álvaro Odriozola,Right-Back,"10,00 Mill. ?",167
27,3,16,3,2,3,1440,,Real Sociedad,34,Spain,"15,00 Mill. ",77,78,60,77,70,81,66,Medium / High,58,9.5,1,0.03,3.004,3004,Asier Illarramendi,Defensive Midfield,"15,00 Mill. ?",404
24,0,12,0,1,2,1070,,Real Sociedad,25,Spain,"12,00 Mill. ",84,68,65,68,76,82,44,Medium / Medium,32,3.5,2,0.08,1.015,2029,Diego Llorente,Centre-Back,"7,50 Mill. ?",316
26,4,17,1,0,5,1428,,Real Sociedad,28,Brazil,"12,00 Mill. ",36,76,66,66,76,82,82,Medium / Low,67,12.5,12,0.43,173,2080,Willian José,Centre-Forward,"12,00 Mill. ?",245
25,0,17,0,2,0,1530,10,Real Sociedad,38,Argentina,"10,00 Mill. ",54,86,85,75,82,83,79,No,37,9.5,0,0,,3420,Gerónimo Rulli,Keeper,"14,00 Mill. ?",359
22,3,8,3,0,2,669,,Real Sociedad,31,Belgium,"10,00 Mill. ",21,81,79,75,50,77,66,Medium / Low,38,3.5,0,0,,1630,Adnan Januzaj,Right Wing,"8,50 Mill. ?","1,251"
24,1,6,0,0,3,507,,Real Sociedad,35,Spain,"7,50 Mill. ",30,77,77,67,54,75,73,Medium / Medium,33,9.6,11,0.31,166,1831,Juanmi,Right Wing,"10,00 Mill. ?",3
22,0,0,0,0,0,63,,Real Sociedad,12,Spain,"3,00 Mill. ",23,67,62,54,48,70,75,Medium / Medium,4,2,3,0.25,101,304,Jon Bautista,Centre-Forward,"5,00 Mill. ?",36
34,5,17,3,2,2,1411,,Real Sociedad,38,Spain,"3,00 Mill. ",46,75,48,84,58,79,75,Medium / Medium,60,15.8,8,0.21,353,2824,Xabi Prieto,Central Midfield,"3,00 Mill. ?",143
